heart_rate,accel_mag,accel_x,accel_y,accel_z,hrv,mov_trend,fatigue
121,1.396,0.234,0.846,-0.243,0.0,1.0,0
84,1.873,-2.15,-1.938,-0.316,37.0,1.0,0
156,0.552,0.485,-0.075,0.011,54.5,1.0,0
148,0.724,-0.224,-0.261,-0.063,39.0,1.0,0
151,0.668,0.33,-0.489,0.042,30.0,1.0,1
111,1.366,0.722,-0.827,-0.649,32.0,1.0,0
129,1.617,0.333,-1.711,0.157,29.667,1.0,0
86,1.975,1.052,1.06,0.447,31.571,1.0,0
81,1.707,0.339,0.999,-0.245,28.25,1.0,0
132,1.654,-0.891,0.828,0.147,30.778,1.0,0
139,1.106,0.24,1.021,-0.012,28.4,1.0,0
153,1.18,-0.043,-1.005,0.369,27.091,1.0,0
132,1.407,1.248,-0.438,-0.341,26.583,1.0,0
174,0.3,0.209,0.046,0.028,27.769,1.0,1
90,2.091,-0.881,-0.411,-0.246,31.786,1.0,0
169,0.0,0.0,0.0,0.0,34.933,1.0,1
133,1.421,1.608,0.149,0.11,35.0,1.0,0
177,0.248,-0.249,-0.16,-0.074,35.529,1.0,1
90,2.539,-0.293,0.459,-0.026,38.389,1.0,0
170,0.327,-0.225,-0.152,0.076,40.579,0.785,1
171,0.42,-0.222,0.019,-0.062,38.684,0.742,1
99,1.83,-0.553,-1.703,0.038,38.684,0.804,0
164,0.517,-0.243,-0.1,0.126,41.684,0.769,0
170,0.386,0.589,-0.075,-0.024,41.842,0.726,1
179,0.328,-0.244,-0.26,0.051,40.211,0.689,1
179,0.312,0.228,0.042,0.079,39.263,0.622,1
92,1.586,1.775,0.451,-0.567,41.579,0.663,0
165,0.55,-0.373,0.318,0.068,45.158,0.716,1
153,0.729,-0.389,-0.357,-0.017,43.105,0.707,0
180,0.371,0.12,0.609,0.01,44.158,0.59,1
142,1.043,-0.67,0.302,-0.07,45.421,0.692,0
97,1.763,0.783,-0.479,0.411,46.684,0.729,0
129,1.557,0.2,-1.164,0.081,46.158,0.816,0
163,0.746,-0.362,0.026,-0.256,43.526,0.646,1
183,0.357,-0.205,0.296,0.097,40.421,0.66,1
174,0.302,0.697,0.103,0.103,39.0,0.688,1
161,0.735,-0.341,-0.104,-0.107,37.368,0.62,0
135,0.763,0.164,-0.19,0.018,34.158,0.688,0
85,2.127,0.082,-1.375,-0.456,32.579,0.86,0
165,1.178,1.303,-1.431,0.066,36.737,1.001,1
156,0.366,0.111,0.19,-0.132,33.421,1.065,0
86,1.895,-1.833,1.075,0.72,33.684,1.056,0
160,1.61,-1.467,-0.468,0.612,37.263,1.209,0
82,1.729,1.942,-0.02,-0.484,40.895,1.245,0
131,0.926,0.907,-0.794,-0.122,43.474,1.478,0
136,1.318,1.856,0.32,0.36,39.158,1.378,0
91,1.62,0.068,-0.375,0.055,37.684,1.331,0
142,1.115,1.413,0.46,0.024,39.737,1.177,0
138,1.113,-0.139,-0.329,-0.197,38.526,1.376,0
98,2.086,1.818,0.453,0.364,38.632,1.511,0
173,0.194,0.087,0.071,-0.001,40.211,1.517,1
136,1.099,0.766,1.024,-0.145,40.474,1.697,0
170,0.704,-0.101,0.361,-0.057,40.474,1.655,0
174,0.26,0.093,-0.127,0.163,39.632,1.297,1
149,0.941,0.435,0.377,-0.197,40.474,1.202,0
134,1.593,-0.141,-0.789,-0.154,40.579,1.284,0
96,2.207,-0.574,0.27,0.37,41.211,1.278,0
98,1.366,-1.153,-0.589,-0.087,38.684,1.176,0
143,1.014,-0.012,-0.61,-0.006,36.842,1.061,1
87,2.181,1.009,0.645,0.058,39.316,1.1,0
143,1.18,0.159,0.009,0.035,38.579,1.075,0
173,0.478,0.116,-0.124,0.266,36.263,1.018,1
166,0.737,-0.049,0.432,-0.321,32.526,1.022,0
97,1.163,-0.367,-0.53,0.052,33.579,1.003,0
166,0.286,0.098,0.167,0.064,36.947,0.816,1
152,1.654,-0.466,-1.7,0.672,35.316,0.898,0
179,0.278,-0.409,-0.15,-0.009,34.053,0.838,1
177,0.251,0.007,-0.068,0.047,33.947,0.817,1
118,1.461,0.929,1.351,-0.363,34.947,0.975,0
157,1.01,0.07,0.103,0.35,33.053,0.993,1
158,0.894,0.799,0.471,-0.116,31.158,0.888,0
86,2.118,-2.235,-1.503,-1.295,33.158,0.868,0
179,0.033,-0.01,0.026,0.01,37.842,0.807,1
179,0.08,-0.003,0.018,-0.001,36.526,0.786,1
148,0.868,-0.064,-0.039,-0.287,37.368,0.664,0
140,1.281,0.734,-0.758,0.194,35.789,0.674,0
81,1.632,-1.405,-0.188,0.028,38.789,0.784,0
141,0.56,0.072,0.286,-0.104,39.579,0.791,1
155,0.585,0.833,-0.109,-0.11,37.368,0.755,0
142,0.815,0.152,-0.476,0.019,35.105,0.878,1
115,1.361,-0.618,-1.161,-0.264,34.947,0.784,0
79,1.865,1.019,1.181,0.366,36.474,0.924,0
135,1.042,0.952,0.337,-0.324,35.789,1.001,0
132,1.719,-1.351,-1.974,0.485,32.316,0.945,0
169,0.306,-0.12,-0.09,-0.054,33.526,0.899,1
81,1.049,0.431,0.246,-0.027,36.737,0.948,0
174,0.326,0.098,-0.191,0.01,41.526,0.841,1
166,0.887,-0.405,-0.406,-0.48,38.842,0.976,0
129,1.208,-1.105,0.578,-0.413,38.737,1.123,0
138,1.104,0.031,-0.57,-0.127,39.158,1.26,0
83,2.028,1.346,0.939,-0.44,38.263,1.31,0
164,1.473,-0.179,0.328,-0.267,37.632,1.188,0
180,0.408,-0.029,0.028,-0.073,38.474,1.192,1
95,1.918,-0.485,0.334,1.194,41.316,1.348,0
131,1.584,-0.238,1.237,-0.321,42.789,1.352,0
108,1.306,1.313,0.256,-0.086,40.895,1.378,0
145,1.329,-0.705,0.229,0.066,39.684,1.194,0
141,1.402,-0.349,0.532,0.955,39.158,1.156,0
175,0.29,-0.19,-0.142,0.132,40.263,1.048,1
180,0.354,-0.108,-0.057,-0.104,39.105,1.099,1
156,0.589,0.308,0.479,0.073,38.474,1.058,1
157,0.982,-0.302,0.101,0.246,35.579,1.247,0
142,1.283,0.216,-0.867,0.942,36.211,1.201,0
91,2.335,0.827,0.304,0.31,36.947,1.186,0
108,2.204,2.106,-0.676,-0.654,33.211,1.238,0
177,0.504,0.158,-0.178,-0.02,31.947,1.089,1
122,0.804,0.397,0.035,-0.311,34.421,1.059,0
149,0.399,-0.062,-0.059,-0.033,33.895,1.068,1
144,1.253,0.812,-1.387,-0.382,33.684,0.949,0
181,0.223,-0.148,0.344,0.004,32.737,0.835,1
82,2.002,-0.138,0.186,1.544,33.684,0.875,0
78,1.724,1.555,-2.741,0.564,33.053,0.924,0
120,1.361,0.237,-0.208,-0.061,30.789,0.904,0
141,0.967,1.016,0.543,0.369,30.0,1.022,0
82,1.582,0.094,-0.124,0.237,31.895,1.093,0
79,1.728,-0.389,0.737,0.23,30.105,1.194,0
187,0.149,-0.059,-0.084,-0.075,35.579,1.098,1
188,0.198,0.124,-0.084,-0.084,33.842,1.01,1
166,0.417,-0.521,0.425,0.026,34.737,0.844,1
159,0.894,-0.017,-0.195,-0.015,33.842,0.729,1
160,1.502,-0.561,-0.377,-0.58,33.842,0.846,0
136,1.359,-0.798,0.333,-0.694,34.316,0.911,0
156,0.805,0.124,0.475,0.402,32.684,0.935,0
100,1.753,0.848,0.403,-1.246,34.737,1.003,0
95,1.582,0.177,-0.717,-0.29,31.368,1.181,0
118,1.702,-0.903,0.586,-0.896,29.684,1.111,0
140,1.355,-0.698,0.57,-0.234,29.421,1.062,0
136,0.793,0.47,-0.168,0.058,29.368,1.029,0
89,2.331,-0.877,2.535,0.495,29.895,1.069,0
155,0.482,0.269,-0.21,-0.036,28.158,0.936,1
170,0.227,0.145,0.016,0.056,28.737,0.804,1
164,0.867,0.239,-0.794,-0.015,26.842,0.879,0
180,0.271,0.044,-0.207,-0.088,26.579,0.938,1
184,0.363,-0.018,-0.101,0.097,23.684,1.05,1
178,0.204,-0.053,-0.038,0.014,23.842,1.098,1
129,1.222,0.099,0.302,-0.707,20.737,1.008,0
168,0.403,-0.326,0.142,0.086,22.737,0.911,1
160,0.597,0.504,0.329,0.056,22.0,0.876,1
175,0.395,0.375,-0.124,-0.05,22.421,0.768,1
131,0.998,-0.629,-1.158,-0.362,24.684,0.678,0
167,0.657,0.911,-0.262,0.23,25.316,0.63,1
154,1.109,-0.353,-0.415,-0.185,24.947,0.629,0
156,0.666,0.568,-0.228,-0.166,22.105,0.643,1
180,0.179,-0.076,0.254,0.05,23.105,0.476,1
155,0.622,0.203,0.405,-0.159,23.211,0.515,1
136,0.886,-0.389,-0.018,0.477,23.053,0.607,0
96,1.482,-3.095,-0.774,0.536,24.947,0.618,0
139,1.505,1.667,0.527,-0.162,24.737,0.691,0
167,0.784,0.386,0.239,0.251,22.737,0.719,1
169,0.57,0.164,-0.057,0.025,22.053,0.774,1
126,1.448,0.363,0.348,-0.098,24.0,0.803,0
135,1.357,0.038,-1.107,0.304,23.632,0.923,0
171,0.743,0.111,0.703,-0.021,25.316,0.947,0
162,0.735,0.18,0.474,-0.226,25.474,1.074,0
71,2.09,-0.602,0.16,0.23,27.684,1.215,0
84,2.27,-0.09,-0.756,1.281,26.316,1.473,0
120,1.247,0.485,0.739,0.42,27.789,1.519,0
150,1.495,-0.089,1.657,-0.48,28.579,1.614,0
145,1.238,-0.528,-0.497,0.028,26.526,2.138,0
132,1.275,0.855,0.262,0.175,25.316,2.178,0
163,0.822,0.097,0.349,-0.022,26.263,2.019,1
104,1.912,-0.869,-1.559,-0.181,29.263,1.939,0
136,1.096,0.553,-0.429,-0.147,29.684,1.69,0
71,1.748,-0.722,2.593,-0.26,31.789,1.712,0
144,1.428,-0.828,-0.041,-0.002,34.632,1.731,0
